user,O,C,E,A,N,risk_score_personality,total_logins,avg_login_hour,std_login_hour,after_hours_logins,weekend_logins,unique_pcs,login_days_span,after_hours_ratio,weekend_ratio,usb_connects,usb_after_hours,usb_weekend,usb_unique_pcs,usb_after_hours_ratio,avg_session_min,max_session_min,total_sessions,file_copy_count,file_copy_after_hours,file_copy_weekend,file_unique_pcs,file_unique_extensions,file_avg_content_len,file_total_content_len,file_after_hours_ratio,role,business_unit,functional_unit,department,team,left_company,role_encoded,business_unit_encoded,functional_unit_encoded,department_encoded,team_encoded,exfiltration_risk,composite_risk_score
DAR0885,43,43,44,41,25,14.3089430894309,58,10.189655172413794,4.049937823008636,5,17,5,36,0.0862068965517241,0.293103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,1,6,0,1,5,8,0.0,7.036906941077524
JLM0364,35,22,15,25,37,66.66666666666667,1314,10.58523592085236,7.333786723456853,490,0,598,480,0.3729071537290715,0.0,2.0,0.0,0.0,2.0,0.0,7.616666666666667,11.266666666666667,2.0,1.0,0.0,0.0,1.0,1.0,493.0,493.0,0.0,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,1,7,0,3,6,9,0.0,31.393738621780525
FOB0756,42,41,34,20,27,42.4390243902439,912,10.326754385964913,2.49315796838158,0,159,2,499,0.0,0.1743421052631578,155.0,0.0,20.0,1.0,0.0,33.105627705627704,178.85,154.0,165.0,0.0,36.0,1.0,6.0,350.42424242424244,57820.0,0.0,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,0,6,0,1,5,10,0.0,8.48780487804878
GCG0951,33,33,25,19,44,70.73170731707317,656,8.989329268292684,2.2631887606264818,0,0,2,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,0,3,0,2,2,3,0.0,14.146341463414636
HWY0038,47,39,40,22,24,38.69918699186991,449,11.097995545657016,7.465648742859918,164,0,285,151,0.3652561247216035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,1,7,0,3,6,11,0.0,25.429692850577133
AAV0450,44,24,36,41,33,41.95121951219512,346,7.540462427745664,0.49908184107567,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,0,3,0,2,2,12,0.0,8.390243902439023
CJV0286,18,14,17,13,26,75.60975609756096,617,10.905996758508914,2.2536218367566376,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Technician,1,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,0,6,0,0,7,13,0.0,15.121951219512193
TDG0962,42,40,36,26,21,29.75609756097561,747,9.275769745649264,2.436648093349976,0,0,2,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,0,3,0,2,2,3,0.0,5.951219512195123
SVL0803,27,35,20,36,32,35.77235772357723,346,8.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mathematician,1,2 - ResearchAndEngineering,1 - Research,5 - Lab,0,4,0,0,3,14,0.0,7.154471544715446
QOS0878,18,12,20,16,29,77.56097560975607,248,9.649193548387096,2.8359175758121595,0,55,9,123,0.0,0.2217741935483871,239.0,0.0,50.0,1.0,0.0,25.477004219409285,186.2,237.0,127.0,0.0,38.0,1.0,6.0,322.86614173228344,41004.0,0.0,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,1,1,0,1,1,4,0.0,15.512195121951214
MDM0625,18,42,36,27,24,30.08130081300812,685,9.71094890510949,2.46281345652782,0,0,2,497,0.0,0.0,2733.0,0.0,0.0,1.0,0.0,13.625242837821222,108.45,2711.0,8346.0,0.0,0.0,1.0,6.0,353.62485022765395,2951353.0,0.0,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,0,1,0,1,1,1,0.0,6.0162601626016246
GMF0738,30,40,45,20,18,33.17073170731708,346,7.517341040462428,0.5004228755450434,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,0,1,0,1,1,15,0.0,6.634146341463416
BER0314,23,20,18,19,32,69.75609756097559,346,7.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,0,1,0,1,1,16,0.0,13.951219512195118
AMR0400,19,16,47,28,28,58.86178861788618,346,7.546242774566474,0.4985780232195326,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,0,2,0,0,0,17,0.0,11.772357723577235
YCE0983,39,21,42,30,36,60.8130081300813,346,7.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ManagementTrainer,1,1 - Adminstration,3 - Training,Unknown,0,8,0,3,8,7,0.0,12.16260162601626
BJW0619,30,43,47,21,39,53.008130081300806,346,7.572254335260116,0.4954682797975053,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,0,1,0,1,1,1,0.0,10.60162601626016
DPS0262,20,25,20,14,32,70.5691056910569,127,7.629921259842519,3.5940938094617256,8,2,1,155,0.0629921259842519,0.0157480314960629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,1,9,0,0,7,18,0.0,17.164616259409463
TYB0779,24,20,35,36,34,52.68292682926828,616,10.027597402597404,2.407485225800675,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,0,6,0,1,5,10,0.0,10.536585365853657
MAS0025,23,14,20,21,23,63.08943089430892,206,7.077669902912621,1.537748245362074,4,0,1,283,0.0194174757281553,0.0,16.0,16.0,0.0,1.0,1.0,14.352222222222222,90.96666666666668,15.0,55.0,55.0,0.0,1.0,5.0,343.4909090909091,18892.0,1.0,InstructionalCoordinator,1,1 - Adminstration,3 - Training,Unknown,1,10,0,3,8,7,3.620999909147126,54.287535322390625
KBL0260,16,15,48,16,32,78.04878048780486,346,7.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,0,9,0,0,7,18,0.0,15.609756097560973
GHL0460,21,37,24,17,35,58.86178861788617,232,7.560344827586207,1.1380000160032278,2,0,1,324,0.0086206896551724,0.0,11.0,10.0,0.0,1.0,0.9090909090909092,12.17878787878788,32.333333333333336,11.0,41.0,41.0,0.0,1.0,5.0,367.3658536585366,15062.0,1.0,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,1,3,0,2,2,12,2.5092244974517235,50.87702113203749
FMG0527,43,38,35,38,28,26.016260162601625,274,8.733576642335766,1.5613827520822818,1,0,1,388,0.0036496350364963,0.0,12.0,6.0,0.0,1.0,0.5,5.518055555555556,14.8,12.0,23.0,9.0,0.0,1.0,4.0,335.8695652173913,7725.0,0.391304347826087,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,1,6,0,1,5,19,0.9260398990653876,23.392591246728074
HCL0651,21,19,44,36,33,52.52032520325204,644,10.986024844720497,2.3821766330492484,0,0,2,497,0.0,0.0,662.0,0.0,0.0,1.0,0.0,30.791995947315097,249.36666666666667,658.0,723.0,0.0,0.0,1.0,6.0,346.7786998616874,250721.0,0.0,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,0,6,0,1,5,20,0.0,10.504065040650408
SCP0130,42,18,35,32,24,47.80487804878048,459,9.396514161220043,2.123806843379783,0,0,2,496,0.0,0.0,717.0,0.0,0.0,1.0,0.0,30.362994350282484,198.81666666666663,708.0,1615.0,0.0,0.0,1.0,6.0,367.7523219814241,593920.0,0.0,AssemblySupervisor,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,0,11,0,2,2,21,0.0,9.560975609756097
CMW0783,21,35,14,16,26,51.707317073170735,346,8.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,0,6,0,1,5,10,0.0,10.341463414634147
RKF0164,40,42,17,18,42,60.81300813008129,335,7.0,0.0,0,0,1,480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Statistician,1,5 - SalesAndMarketing,1 - MarketAnalysis,Unknown,1,12,0,1,9,7,0.0,12.16260162601626
DOL0332,32,40,41,18,24,42.27642276422764,346,7.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,0,6,0,1,5,22,0.0,8.455284552845528
RSC0089,41,26,35,21,29,58.21138211382113,815,9.628220858895704,3.5779063580445163,33,37,27,497,0.0404907975460122,0.0453987730061349,2896.0,11.0,124.0,1.0,0.0037983425414364,14.295686956521738,136.23333333333332,2875.0,865.0,7.0,43.0,1.0,6.0,357.80462427745664,309501.0,0.0080924855491329,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,0,9,0,0,7,18,1.3448423409561825,14.111956044961973
CCM0136,16,16,39,40,29,46.34146341463414,633,10.590837282780411,2.468480691524765,0,0,2,497,0.0,0.0,120.0,0.0,0.0,1.0,0.0,30.534173669467787,131.71666666666667,119.0,137.0,0.0,0.0,1.0,6.0,361.8321167883212,49571.0,0.0,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,0,3,0,2,2,21,0.0,9.268292682926829
NCH0179,17,12,40,17,25,71.86991869918697,346,7.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AdministrativeAssistant,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,0,5,0,1,5,22,0.0,14.373983739837392
NBH0256,41,43,14,21,22,33.65853658536586,346,7.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,0,9,0,0,7,18,0.0,6.731707317073172
ORG0339,50,28,46,47,20,16.422764227642283,346,7.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,0,6,0,1,5,22,0.0,3.2845528455284567
FRR0832,43,40,25,19,30,47.96747967479676,346,8.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,0,3,0,2,2,23,0.0,9.593495934959353
MSD0939,24,37,15,42,31,25.85365853658536,346,7.0,0.0,0,0,1,496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,0,0,0,0,0,24,0.0,5.170731707317072
OQH0183,34,38,18,33,23,26.016260162601625,346,7.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,0,6,0,1,5,22,0.0,5.203252032520324
BSH0445,38,22,30,15,21,59.83739837398374,346,7.520231213872832,0.5003140506559252,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TestEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,0,13,0,0,7,25,0.0,11.967479674796747
KSP0357,41,40,29,19,24,41.13821138211382,945,10.884656084656084,7.265138163531278,339,0,519,338,0.3587301587301587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,1,7,0,3,6,9,0.0,25.601436238452024
NGO0690,43,41,41,17,24,42.43902439024389,622,10.533762057877814,2.3972578929790145,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,0,2,0,0,0,26,0.0,8.487804878048777
VCC0396,21,45,16,37,23,14.634146341463412,698,9.7621776504298,3.458406573233381,34,3,2,497,0.0487106017191977,0.0042979942693409,719.0,1.0,0.0,1.0,0.0013908205841446,32.24066011235955,257.26666666666665,712.0,1616.0,1.0,0.0,1.0,6.0,358.8075495049505,579833.0,0.0006188118811881,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,0,2,0,0,0,17,0.13576643191456314,5.35348525467411
WDD0366,43,42,17,19,28,43.73983739837398,1450,11.015172413793104,6.7597878429561815,427,0,570,442,0.2944827586206897,0.0,6.0,6.0,0.0,1.0,1.0,8.372222222222222,24.05,6.0,6.0,6.0,0.0,1.0,1.0,345.0,2070.0,1.0,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,1,7,0,3,6,9,0.8145985914873788,63.1742239004488
KPP0452,44,46,44,16,19,33.008130081300806,346,7.546242774566474,0.4985780232195325,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,0,3,0,2,2,12,0.0,6.601626016260162
RTO0313,44,45,25,17,27,41.95121951219512,722,9.477839335180056,3.679637229104604,38,5,2,497,0.0526315789473684,0.0069252077562326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,0,1,0,1,1,16,0.0,10.93926351028216
ABM0845,45,21,35,50,29,30.081300813008127,633,10.074249605055291,2.440919062152303,0,0,2,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,0,3,0,2,2,23,0.0,6.016260162601625
VIA0063,40,34,19,50,33,21.95121951219512,346,7.505780346820809,0.5006906514248364,0,0,1,497,0.0,0.0,2751.0,0.0,0.0,1.0,0.0,16.29174887346243,144.95,2737.0,8524.0,0.0,0.0,1.0,6.0,360.85980760206473,3075969.0,0.0,Manager,1,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,0,14,0,0,0,27,0.0,4.390243902439024
BIH0745,43,39,50,27,25,34.14634146341463,148,7.662162162162162,1.6016745236305012,2,0,1,204,0.0135135135135135,0.0,11.0,6.0,0.0,1.0,0.5454545454545454,16.812121212121212,52.81666666666667,11.0,41.0,30.0,0.0,1.0,5.0,312.9756097560976,12832.0,0.7317073170731707,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,1,1,0,1,1,15,1.7061290521114503,33.370581337913826
CCW0031,33,47,30,39,33,21.78861788617886,346,7.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manager,1,1 - Adminstration,6 - Security,1 - BuildingSecurity,0,14,0,3,6,28,0.0,4.357723577235772
IYB0918,17,21,42,14,30,72.1951219512195,346,8.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scientist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,0,15,0,0,3,29,0.0,14.439024390243901
ORM0669,44,39,28,39,36,33.00813008130082,435,8.32183908045977,2.0438412199998752,0,0,2,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mathematician,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,0,4,0,0,3,30,0.0,6.601626016260163
MJB0588,39,24,15,47,38,40.81300813008129,346,8.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,0,3,0,2,2,2,0.0,8.162601626016258
ALB0892,25,19,44,22,30,65.04065040650404,235,9.0,0.0,0,58,1,251,0.0,0.2468085106382978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,1,6,0,1,5,8,0.0,13.00813008130081
LIM0674,18,13,35,49,20,28.780487804878053,738,9.804878048780488,2.953254635659666,12,20,2,497,0.016260162601626,0.02710027100271,133.0,0.0,2.0,1.0,0.0,29.41030534351145,124.76666666666668,131.0,185.0,3.0,1.0,1.0,6.0,363.9189189189189,67325.0,0.0162162162162162,Physicist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,0,16,0,0,3,30,0.11144130757800891,6.890367072780049
LHN0151,13,15,19,32,26,53.008130081300806,346,8.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Accountant,1,4 - Finance,1 - Accounting,Unknown,0,17,0,4,10,7,0.0,10.60162601626016
WTR0563,47,45,46,15,31,48.78048780487806,346,8.520231213872833,0.5003140506559249,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,0,0,0,0,0,0,0.0,9.756097560975611
MKS0204,21,30,21,16,31,62.27642276422765,346,7.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Attorney,1,6 - PurchasingAndContracts,3 - Contracts,Unknown,0,18,0,5,11,7,0.0,12.455284552845528
AAW0353,49,45,19,25,34,40.81300813008129,346,7.523121387283237,0.500188454055313,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AssemblySupervisor,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,0,11,0,2,2,12,0.0,8.162601626016258
WJD0576,40,20,23,38,26,41.30081300813007,346,8.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,0,3,0,2,2,2,0.0,8.260162601626014
ILH0958,28,17,20,19,24,63.57723577235773,737,9.149253731343284,2.4731114032688835,0,0,27,497,0.0,0.0,150.0,0.0,0.0,1.0,0.0,36.87,179.05,150.0,2970.0,0.0,0.0,1.0,6.0,368.8636363636364,1095525.0,0.0,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,0,3,0,2,2,3,0.0,12.715447154471546
TLK0993,41,36,40,35,22,24.552845528455283,346,9.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IndustrialEngineer,1,3 - Manufacturing,1 - IndustrialEngineering,Unknown,0,19,0,2,12,7,0.0,4.9105691056910565
WAB0143,43,43,24,22,33,45.040650406504064,254,7.0,0.0,0,0,1,366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Statistician,1,3 - Manufacturing,4 - QualityControl,Unknown,1,12,0,2,13,7,0.0,9.008130081300813
RAG0275,23,38,35,41,32,27.15447154471545,346,7.0,0.0,0,0,1,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,0,9,0,0,7,31,0.0,5.430894308943089
